Strategy,Filter,Avg Sharpe Ratio,Avg Total Return (%),Aggregate Win Rate (%),Aggregate Expectancy ($),Total Trades,Profitable Stocks,Avg Max Drawdown (%),Filter Pass Rate (%)
Baseline Golden Cross,No filters,-6.592743796162289,0.6019235349953632,31.25,14.324622035026547,16,7/10,1.0988201412536545,
Golden Cross + Volume Filter,Volume > 150% of 20-day avg,-10.031632744891532,0.06270618989000468,33.33333333333333,20.173329671223957,3,2/10,0.4431806413503413,16.666666666666664
Golden Cross + ADX Filter,ADX > 25,-4.7181696517234775,-0.004808611537395336,25.0,1.3172454833984233,4,1/10,0.3095090592447282,16.666666666666664
