Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2018-01-02,108.74043273925781,109.28171308438166,108.20864332923205,108.79740732980076,6080900
2018-01-03,109.822998046875,109.95594359372382,108.88288103844727,109.158263067642,6946100
2018-01-04,110.23133850097656,111.44684484570305,110.18385484110877,110.39277135254413,7805300
2018-01-05,112.87126922607422,113.00421478151213,110.55420569703148,111.09548609988283,8590500
2018-01-08,113.32707977294922,114.40964781680113,112.12107160052842,112.63386470183005,6660700
2018-01-09,113.10865783691406,113.92532742198112,112.6813339297227,113.92532742198112,6562400
2018-01-10,112.9852066040039,113.05167937050909,111.5417876099082,112.7098173584858,7490300
2018-01-11,113.8018798828125,113.93483267362329,112.70033003957526,112.81428646956071,5982100
2018-01-12,114.0392837524414,114.2861857284095,113.67843259140254,114.06777829369797,5585800
2018-01-16,114.32416534423828,115.7960716991815,113.86835413734478,115.07436216911353,8803800
2018-01-17,115.83407592773438,116.00500696924071,114.64705681865973,115.09336991788047,7991500
2018-01-18,116.90711212158203,116.99257400048829,115.88152610477871,116.34683546157376,8661000
2018-01-19,116.51776123046875,117.41989985555462,115.77706266660076,116.85013228680906,8250700
2018-01-22,118.06566619873047,118.06566619873047,116.23290846979576,116.67922879810988,9355000
2018-01-23,118.36954498291016,119.18621469559528,117.95171194526023,118.32206132136282,5683300
2018-01-24,118.27459716796875,119.12924520451746,117.47691649020224,118.74940485271372,6425200
2018-01-25,118.91080474853516,119.14820852506713,118.35052806852578,118.70188826598888,7166400
2018-01-26,119.95540618896484,120.01238078941488,118.4740086173452,119.4331148682067,5604900
2018-01-29,118.54997253417969,120.48718864760299,118.40753603281686,120.35424308300442,6257900
2018-01-30,117.32495880126953,118.02767200835392,116.65072564549861,117.58135171297975,8154400
2018-01-31,117.97065734863281,118.20806106384016,116.84061334585014,117.54332631426772,7338200
2018-02-01,119.3856201171875,119.8984131774652,117.8472409363544,118.45499406446379,11169700
2018-02-02,114.81796264648438,117.48637869931126,114.61853710436218,117.48637869931126,13937700
2018-02-05,110.4117660522461,115.02689691916444,109.21525600896331,112.71933148570527,16623900
2018-02-06,113.92533874511719,114.23871350553127,107.54392332754287,109.39567010273669,19053300
2018-02-07,113.62146759033203,116.28988415916605,113.20363455649714,114.03929337917742,9294000
2018-02-08,108.12318420410156,113.7828897671817,107.81930763846601,113.50750049754498,12673400
2018-02-09,110.45923614501953,111.30439306565245,105.42627285238387,108.77842048403855,17695500
2018-02-12,112.50091552734375,112.85226851962318,110.99102357015157,111.85517689222183,11526300
2018-02-13,112.38695526123047,112.81428643982163,111.22842358081148,111.91214767056623,7803900
2018-02-14,114.74198913574219,114.85593830584914,111.57976925549158,111.69372567058646,9206400
2018-02-15,116.32111358642578,116.34965048083927,114.12368562535319,115.76937610242223,6921300
2018-02-16,115.91207122802734,116.99651679312846,115.64571719556083,115.70279098605994,6371400
2018-02-20,116.06426239013672,117.05358242154671,115.12250142534324,115.43642174694106,6182800
2018-02-21,114.561279296875,116.84432541845939,114.54225711797002,116.10233706190526,7676100
2018-02-22,114.51370239257812,115.46497091729415,113.79074353926802,114.78957113565812,4994000
2018-02-23,116.9394302368164,116.96796712895069,115.31276206674166,115.64570457097878,5036900
2018-02-26,118.51854705810547,118.52806177588664,117.31043917361133,117.55777103269949,6270500
2018-02-27,117.3580093383789,119.19395801954377,117.33897990219498,118.6231910556805,7287200
2018-02-28,116.94894409179688,118.88953257625641,116.89186305034656,117.6243438118741,6780900
2018-03-01,114.53271484375,117.95727957339265,113.7907266657143,117.25334300161542,8819600
2018-03-02,114.88468170166016,115.0844544527446,112.11649442614339,113.28655049619827,7581900
2018-03-05,115.94060516357422,116.3496509194495,113.61951489875895,114.58029088311483,5810200
2018-03-06,115.16055297851562,117.23431843118604,114.78955887411331,116.84430215166657,7464400
2018-03-07,115.91207122802734,116.28306538147757,113.86684239644084,114.18076275939198,7254100
2018-03-08,116.2640380859375,116.83479773861293,115.26520325055344,116.01670624199048,6948900
2018-03-09,118.44244384765625,118.70879786841996,116.88236407666649,117.24384349661683,6397700
2018-03-12,118.18557739257812,118.88952119479207,117.46261867437143,118.67072628164956,8636000
2018-03-13,117.19627380371094,118.90855997032462,116.91089761434368,118.19510861050267,9479500
2018-03-14,116.60648345947266,117.99533446739683,115.95962065025847,117.99533446739683,7855000
2018-03-15,117.39603424072266,118.35681007889612,116.72062730434082,117.12967299797965,5861900
2018-03-16,118.46146392822266,118.95612760740431,117.31994464297713,117.81460106455616,9447100
2018-03-19,117.20576477050781,118.25215843468894,116.32108497329263,117.90019381336316,17387800
2018-03-20,118.82294464111328,119.07026921069962,117.29140186801837,117.36749782764373,7779700
2018-03-21,117.21530151367188,119.32711866890263,117.07260979228555,118.81343282647333,7359500
2018-03-22,114.14269256591797,116.7016068682551,113.86682386074094,116.24499484578233,10501500
2018-03-23,111.29841613769531,114.46614203113131,111.07011372646473,114.04758156253956,10024300
2018-03-26,114.76103210449219,114.85615750367215,112.0594330282469,113.28656301559312,8735400
2018-03-27,111.67889404296875,115.67421779141125,111.05105351408736,115.59811458955882,9008600
2018-03-28,111.28887176513672,112.31624322831358,110.37565510595758,111.2317979919383,9420400
2018-03-29,113.79071807861328,114.71344224474203,111.33644409216465,111.94525523115328,12918100
2018-04-02,112.62066650390625,113.99049533703828,111.07010160800408,113.45778009215249,9877100
2018-04-03,113.39119720458984,114.14270015675237,111.76452901355542,113.09630630526618,7084800
2018-04-04,113.9714584350586,114.26635655806523,111.02252800820295,111.20327131672946,8425700
2018-04-05,115.28421020507812,116.06424993840449,114.50417047175178,115.10346690156061,6816000
2018-04-06,111.96429443359375,114.68492279995193,111.4125642445691,114.32344339919753,8383800
2018-04-09,113.00119018554688,114.78957241927426,112.84898373624091,112.84898373624091,7024800
2018-04-10,114.83712768554688,115.25568812321076,113.80975602451858,114.68492125090464,8947200
2018-04-11,113.94292449951172,115.73131368471886,113.79072533386103,114.14268998682921,5874900
2018-04-12,115.17007446289062,116.03573226243483,114.52321160686279,114.53272632378155,5666000
2018-04-13,114.86565399169922,116.50183672530241,114.77052860761565,115.79790017396206,9174300
2018-04-16,115.94060516357422,116.88236622838656,115.58864045434393,116.15940011757382,6903200
2018-04-17,117.76705932617188,118.20464202516767,116.54942938308359,116.92043082587074,5979600
2018-04-18,118.41390228271484,118.78489640523047,117.36750116012976,118.01436400972669,5171000
