symbol,underlying,strike,expiration,option_type,bid,ask,last,volume,open_interest,delta,gamma,theta,vega,implied_volatility,mid_price,days_to_expiration,underlying_price,moneyness
SPY250729C00617000,SPY,617.0,2025-07-29,C,19.24,19.55,19.23,6,45,0.5954069227097073,3.108392362084804e-05,-0.0,0.0,0.51562984375,19.395,0,635.18017578125,0.9713779231870878
SPY250729C00618000,SPY,618.0,2025-07-29,C,18.24,18.55,17.11,16,32,0.5901590679112897,3.1117996314442345e-05,-0.0,0.0,0.5161181201171875,18.395,0,635.18017578125,0.9729522796266131
SPY250729C00619000,SPY,619.0,2025-07-29,C,17.25,17.5,18.7,4,16,0.5849112131128722,3.115017607781326e-05,-0.0,0.0,0.48950705810546885,17.375,0,635.18017578125,0.9745266360661383
SPY250729C00620000,SPY,620.0,2025-07-29,C,16.26,16.56,15.5,28,131,0.5796633583144546,3.1180456963468865e-05,-0.0,0.0,0.47632359619140624,16.41,0,635.18017578125,0.9761009925056636
SPY250729C00621000,SPY,621.0,2025-07-29,C,15.35,15.46,15.66,9,315,0.5744155035160371,3.1208833371107274e-05,-0.0,0.0,0.44360907958984375,15.405000000000001,0,635.18017578125,0.9776753489451889
SPY250729C00622000,SPY,622.0,2025-07-29,C,14.34,14.5,14.42,22,343,0.5691676487176196,3.123530004934276e-05,-0.0,0.0,0.4274959594726563,14.42,0,635.18017578125,0.9792497053847141
SPY250729C00623000,SPY,623.0,2025-07-29,C,13.26,13.56,13.3,35,167,0.563919793919202,3.1259852097325445e-05,-0.0,0.0,0.4133359448242187,13.41,0,635.18017578125,0.9808240618242394
SPY250729C00624000,SPY,624.0,2025-07-29,C,12.27,12.56,12.4,42,224,0.5586719391207845,3.1282484966253756e-05,-0.0,0.0,0.3918517846679687,12.415,0,635.18017578125,0.9823984182637646
SPY250729C00625000,SPY,625.0,2025-07-29,C,11.37,11.57,10.67,207,316,0.5534240843223669,3.1303194460779e-05,-0.0,0.0,0.3711000390625,11.469999999999999,0,635.18017578125,0.9839727747032899
SPY250729C00626000,SPY,626.0,2025-07-29,C,10.35,10.5,10.52,110,355,0.5481762295239494,3.132197674030142e-05,-0.0,0.0,0.3413151806640625,10.425,0,635.18017578125,0.9855471311428152
SPY250729C00627000,SPY,627.0,2025-07-29,C,9.33,9.4,9.35,229,511,0.5429283747255318,3.13388283201573e-05,-0.0,0.0,0.3086006640625,9.365,0,635.18017578125,0.9871214875823404
SPY250729C00628000,SPY,628.0,2025-07-29,C,8.37,8.45,8.47,118,1274,0.5376805199271143,3.1353746072696396e-05,-0.0,0.0,0.2910227148437499,8.41,0,635.18017578125,0.9886958440218657
SPY250729P00628000,SPY,628.0,2025-07-29,P,0.02,0.03,0.02,4236,3331,-0.46231948007288576,3.1353746072696396e-05,-0.0,0.0,0.108407353515625,0.025,0,635.18017578125,1.0114334009255572
SPY250729C00629000,SPY,629.0,2025-07-29,C,7.4,7.48,7.46,118,637,0.5324326651286967,3.136672722824944e-05,-0.0,0.0,0.270515107421875,7.44,0,635.18017578125,0.990270200461391
SPY250729P00629000,SPY,629.0,2025-07-29,P,0.02,0.03,0.03,7113,7687,-0.4675673348713033,3.136672722824944e-05,-0.0,0.0,0.09571216796875001,0.025,0,635.18017578125,1.0098253986983308
SPY250729C00630000,SPY,630.0,2025-07-29,C,6.4,6.47,6.33,954,1146,0.5271848103302792,3.137776937598513e-05,-0.0,0.0,0.24549094360351562,6.4350000000000005,0,635.18017578125,0.9918445569009162
SPY250729P00630000,SPY,630.0,2025-07-29,P,0.02,0.03,0.02,16622,11029,-0.4728151896697208,3.137776937598513e-05,-0.0,0.0,0.08204042968750001,0.025,0,635.18017578125,1.0082225012400794
SPY250729C00631000,SPY,631.0,2025-07-29,C,5.41,5.47,5.45,2320,1048,0.5219369555318616,3.138687046465637e-05,-0.0,0.0,0.22046677978515622,5.4399999999999995,0,635.18017578125,0.9934189133404415
SPY250729P00631000,SPY,631.0,2025-07-29,P,0.03,0.04,0.03,17711,6422,-0.47806304446813835,3.138687046465637e-05,-0.0,0.0,0.07227490234375,0.035,0,635.18017578125,1.0066246842809032
SPY250729C00632000,SPY,632.0,2025-07-29,C,4.41,4.48,4.46,8808,1342,0.5166891007334441,3.139402880323531e-05,-0.0,0.0,0.195320546875,4.445,0,635.18017578125,0.9949932697799668
SPY250729P00632000,SPY,632.0,2025-07-29,P,0.03,0.04,0.04,40213,9249,-0.4833108992665559,3.139402880323531e-05,-0.0,0.0,0.058114887695312506,0.035,0,635.18017578125,1.0050319237045096
