symbol,underlying,strike,expiration,option_type,bid,ask,last,volume,open_interest,delta,gamma,theta,vega,implied_volatility,mid_price,days_to_expiration,underlying_price,moneyness
SPY250729C00615000,SPY,615.0,2025-07-29,C,18.63,21.43,20.11,86,125,0.606308227886614,3.10032256622134e-05,-0.0,0.0,0.5495650512695314,20.03,0,635.260009765625,0.9681075316340159
SPY250729C00616000,SPY,616.0,2025-07-29,C,17.63,20.43,18.39,24,61,0.6010610325932046,3.104120058089586e-05,-0.0,0.0,0.5302781347656251,19.03,0,635.260009765625,0.9696816902220387
SPY250729C00617000,SPY,617.0,2025-07-29,C,16.63,19.42,18.1,45,45,0.5958138372997953,3.1077296734968195e-05,-0.0,0.0,0.5095263891601562,18.025,0,635.260009765625,0.9712558488100614
SPY250729C00618000,SPY,618.0,2025-07-29,C,15.68,18.41,17.01,23,32,0.5905666420063861,3.111150746498487e-05,-0.0,0.0,0.4885305053710938,17.045,0,635.260009765625,0.9728300073980842
SPY250729C00619000,SPY,619.0,2025-07-29,C,14.68,17.41,18.7,4,16,0.5853194467129768,3.1143826454551235e-05,-0.0,0.0,0.4687553125,16.045,0,635.260009765625,0.974404165986107
SPY250729C00620000,SPY,620.0,2025-07-29,C,13.68,16.41,15.09,81,131,0.5800722514195674,3.117424773226709e-05,-0.0,0.0,0.4489801196289062,15.045,0,635.260009765625,0.9759783245741298
SPY250729C00621000,SPY,621.0,2025-07-29,C,12.68,15.41,14.11,22,315,0.5748250561261582,3.120276567356551e-05,-0.0,0.0,0.42896078857421877,14.045,0,635.260009765625,0.9775524831621526
SPY250729C00622000,SPY,622.0,2025-07-29,C,11.68,14.41,13.08,49,343,0.5695778608327489,3.122937500244595e-05,-0.0,0.0,0.40869731933593745,13.045,0,635.260009765625,0.9791266417501754
SPY250729C00623000,SPY,623.0,2025-07-29,C,10.68,13.41,12.09,50,167,0.5643306655393395,3.125407079310104e-05,-0.0,0.0,0.3881897119140625,12.045,0,635.260009765625,0.9807008003381982
SPY250729C00624000,SPY,624.0,2025-07-29,C,9.68,12.41,11.35,55,224,0.5590834702459303,3.127684847143629e-05,-0.0,0.0,0.3673158972167969,11.045,0,635.260009765625,0.982274958926221
SPY250729C00625000,SPY,625.0,2025-07-29,C,8.84,11.34,10.34,239,316,0.553836274952521,3.129770381648204e-05,-0.0,0.0,0.33814138427734375,10.09,0,635.260009765625,0.9838491175142438
SPY250729C00626000,SPY,626.0,2025-07-29,C,7.88,10.38,9.02,175,355,0.5485890796591116,3.131663296169712e-05,-0.0,0.0,0.3215399877929687,9.13,0,635.260009765625,0.9854232761022665
SPY250729C00627000,SPY,627.0,2025-07-29,C,6.83,9.33,8.22,286,511,0.5433418843657023,3.133363239616354e-05,-0.0,0.0,0.2941965112304687,8.08,0,635.260009765625,0.9869974346902893
SPY250729C00628000,SPY,628.0,2025-07-29,C,5.88,7.3,7.13,302,1274,0.5380946890722931,3.13486989656718e-05,-0.0,0.0,0.11426666992187501,6.59,0,635.260009765625,0.9885715932783121
SPY250729C00629000,SPY,629.0,2025-07-29,C,5.0,7.41,6.33,520,637,0.5328474937788837,3.1361829873696285e-05,-0.0,0.0,0.257819921875,6.205,0,635.260009765625,0.9901457518663349
SPY250729C00630000,SPY,630.0,2025-07-29,C,4.0,5.27,5.0,3901,1146,0.5276002984854744,3.1373022682260414e-05,-0.0,0.0,0.07032179687500001,4.635,0,635.260009765625,0.9917199104543577
SPY250729C00631000,SPY,631.0,2025-07-29,C,2.69,4.25,4.05,6652,1048,0.5223531031920652,3.138227531269095e-05,-0.0,0.0,1.0000000000000003e-05,3.4699999999999998,0,635.260009765625,0.9932940690423805
SPY250729C00632000,SPY,632.0,2025-07-29,C,1.98,3.25,3.04,11881,1342,0.5171059078986558,3.1389586046261474e-05,-0.0,0.0,1.0000000000000003e-05,2.615,0,635.260009765625,0.9948682276304033
SPY250729C00634000,SPY,634.0,2025-07-29,C,0.98,1.09,0.99,61567,8331,0.5066115173118373,3.13983767507317e-05,-0.0,0.0,1.0000000000000003e-05,1.0350000000000001,0,635.260009765625,0.9980165448064489
SPY250729C00635000,SPY,635.0,2025-07-29,C,0.1,0.12,0.11,241206,9375,0.501364322018428,3.139985508814348e-05,-0.0,0.0,1.0000000000000003e-05,0.11,0,635.260009765625,0.9995907033944716
SPY250729P00635000,SPY,635.0,2025-07-29,P,0.08,0.09,0.09,492826,11985,-0.49863567798157205,3.139985508814348e-05,-0.0,0.0,0.014536221923828127,0.08499999999999999,0,635.260009765625,1.0004094641978347
SPY250729P00636000,SPY,636.0,2025-07-29,P,0.92,1.03,0.97,491013,8276,-0.5038828732749814,3.139938826222531e-05,-0.0,0.0,0.044199011230468745,0.9750000000000001,0,635.260009765625,0.9988364933421777
SPY250729P00637000,SPY,637.0,2025-07-29,P,1.92,2.05,2.13,369751,10478,-0.5091300685683906,3.139697635973311e-05,-0.0,0.0,0.07032179687500001,1.9849999999999999,0,635.260009765625,0.9972684611705259
