symbol,date,open,high,low,close,volume,daily_return,volatility_5d,volatility_20d,sma_20,sma_50,market_cap,sector,industry,export_timestamp
CRWD,2025-04-21,363.79998779296875,372.0899963378906,355.6600036621094,362.69000244140625,2904900.0,,,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-04-22,368.8399963378906,374.7099914550781,362.8999938964844,368.45001220703125,2577100.0,0.01588135798299417,,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-04-23,382.5,396.30499267578125,382.5,385.75,3580600.0,0.046953418970842487,,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-04-24,386.0,414.8489990234375,386.0,414.04998779296875,4624900.0,0.07336354580160398,,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-04-25,414.69000244140625,425.7349853515625,412.6000061035156,424.8800048828125,3335500.0,0.0261563033670682,,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-04-28,424.8399963378906,428.0,415.3299865722656,423.0799865722656,2798700.0,-0.0042365333502651925,0.02975266838995778,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-04-29,424.489990234375,432.3699951171875,423.0799865722656,430.989990234375,2407100.0,0.01869623691301281,0.029404926563489326,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-04-30,419.010009765625,429.54998779296875,414.4100036621094,428.8699951171875,3187200.0,-0.004918896413428575,0.031934345689920596,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-01,431.510009765625,439.6300048828125,427.75,431.8800048828125,3080100.0,0.007018466667976009,0.013785681020740206,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-02,438.17999267578125,443.70001220703125,434.3999938964844,440.5799865722656,2708700.0,0.020144441953995562,0.01201372025212113,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-05,436.0,451.1499938964844,435.40399169921875,443.4700012207031,3281000.0,0.006559568606195665,0.01025406792578432,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-06,432.2019958496094,447.5,430.57000732421875,443.2099914550781,3431200.0,-0.00058630745013033,0.00953128731379301,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-07,425.4200134277344,429.8399963378906,417.06201171875,422.5199890136719,6673400.0,-0.04668216610704112,0.025695111119963816,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-08,427.4849853515625,432.906005859375,424.7200012207031,428.6300048828125,3619000.0,0.014460891858403713,0.02659916139665147,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-09,418.94500732421875,420.0,404.6300048828125,410.57000732421875,4693300.0,-0.04213423547782513,0.028599742734434656,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-12,419.69000244140625,429.4700012207031,415.1000061035156,429.44000244140625,3278500.0,0.04596048123477825,0.03907800484367985,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-13,428.2099914550781,448.0,427.0,440.20001220703125,3734600.0,0.025055909334140702,0.041537845122340156,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-14,442.5,445.4700012207031,431.260009765625,435.94000244140625,2847300.0,-0.009677441270995346,0.0338805028332957,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-15,423.5899963378906,433.8599853515625,422.0899963378906,431.8399963378906,2531900.0,-0.009404977934014402,0.03419926074493191,,,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-16,435.8699951171875,440.8900146484375,431.82000732421875,439.260009765625,2133400.0,0.017182320976884657,0.02378072059542677,,421.81499938964845,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-19,432.42999267578125,445.5,431.69000244140625,444.3500061035156,2015600.0,0.011587661577948882,0.015795484704679272,0.02781012865080267,425.8979995727539,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-20,441.8900146484375,443.010009765625,436.69500732421875,442.25,2132600.0,-0.0047260179468219254,0.0125401793604308,0.02798415452281773,429.58799896240237,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-21,436.79998779296875,450.6700134277344,432.05999755859375,434.739990234375,4321100.0,-0.016981367474561915,0.014383709555551748,0.027123699702176204,432.0374984741211,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-22,430.7149963378906,448.8800048828125,430.0,444.07000732421875,2590900.0,0.02146114298069013,0.016109531727795372,0.02245487118527523,433.5384994506836,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-23,438.5,459.92999267578125,437.3999938964844,455.5899963378906,4487800.0,0.025941830845741087,0.018031410701832343,0.022443654361711807,435.0739990234375,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-27,464.0,474.2300109863281,459.6000061035156,472.2200012207031,3997200.0,0.03650212914350037,0.02237719570771467,0.0235055499474638,437.5309997558594,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-28,472.9849853515625,473.4100036621094,465.9800109863281,468.8299865722656,2893400.0,-0.007178888314078646,0.02286907630111243,0.02346887198529357,439.4229995727539,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
CRWD,2025-05-29,472.0,472.489990234375,453.42498779296875,458.80999755859375,3324000.0,-0.02137232963047131,0.02429746422702558,0.02409565759901128,440.91999969482424,,118632079360,Technology,Software - Infrastructure,2025-07-21T07:03:44.172751
