contract_symbol,last_trade_date,strike,last,bid,ask,change,percentChange,volume,open_interest,implied_volatility,inTheMoney,contract_size,currency,option_type,expiration,date,underlying,underlying_price,mid_price,bid_ask_spread,spread_pct,days_to_expiration,moneyness,delta,gamma,theta,vega
SPY250729P00550000,2025-07-17 16:44:00+00:00,550.0,0.1,0.0,0.01,0.0,0.0,,15,0.87500125,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.1564459783380683,-0.04906099875961595,2.494830170696543e-05,-0.0,0.0
SPY250729P00555000,2025-07-29 13:30:00+00:00,555.0,0.02,0.0,0.01,0.01,100.0,5.0,1440,0.8125018749999999,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.1460275461007883,-0.07526458359682453,2.5600702359516374e-05,-0.0,0.0
SPY250729C00560000,2025-07-28 19:01:36+00:00,560.0,76.18,75.1,77.5,0.0,0.0,132.0,15,1.18359783203125,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,76.3,2.4000000000000057,0.0314547837483618,0,0.8804404505302099,0.8985318315659668,2.622960958173148e-05,-0.0,0.0
SPY250729P00560000,2025-07-29 16:14:10+00:00,560.0,0.01,0.0,0.01,0.0,0.0,3.0,284,0.7656273437500001,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.135795157296317,-0.10146816843403317,2.622960958173148e-05,-0.0,0.0
SPY250729P00565000,2025-07-24 18:41:26+00:00,565.0,0.03,0.0,0.01,0.0,0.0,3282.0,1006,0.7187528125,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.1257438727184734,-0.1276717532712418,2.6832480670375088e-05,-0.0,0.0
SPY250729C00570000,2025-07-29 15:28:31+00:00,570.0,64.84,66.28,66.51,-1.5,-2.2610793,11.0,55,1.0927779736328125,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,66.39500000000001,0.23000000000000398,0.0034641162738158586,0,0.8961626014325351,0.8461246618915496,2.7406834482338544e-05,-0.0,0.0
SPY250729P00570000,2025-07-28 14:36:12+00:00,570.0,0.01,0.0,0.01,0.0,0.0,148.0,794,0.6718782812500002,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.115868926466557,-0.15387533810845044,2.7406834482338544e-05,-0.0,0.0
SPY250729P00575000,2025-07-28 17:54:26+00:00,575.0,0.01,0.0,0.01,0.0,0.0,303.0,748,0.6250037500000001,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.1061657184103262,-0.18007892294565908,2.795026833891546e-05,-0.0,0.0
SPY250729C00580000,2025-07-29 15:31:37+00:00,580.0,55.26,56.27,57.54,-2.0900002,-3.6442897,12.0,5,1.1181684716796876,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,56.905,1.269999999999996,0.02231789825147168,0,0.9118847523348603,0.7937174922171323,2.8460474693080743e-05,-0.0,0.0
SPY250729P00580000,2025-07-28 19:52:14+00:00,580.0,0.01,0.0,0.01,0.0,0.0,648.0,902,0.5625043750000001,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0966298070447198,-0.20628250778286772,2.8460474693080743e-05,-0.0,0.0
SPY250729C00585000,2025-07-29 15:22:59+00:00,585.0,49.84,51.28,51.42,1.1399994,2.340861,10.0,2,0.851563984375,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,51.35,0.14000000000000057,0.00272638753651413,0,0.9197458277860229,0.7675139073799236,2.8935257398822102e-05,-0.0,0.0
SPY250729P00585000,2025-07-29 16:14:10+00:00,585.0,0.01,0.0,0.01,0.0,0.0,3.0,7210,0.51562984375,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0872569027110042,-0.23248609262007636,2.8935257398822102e-05,-0.0,0.0
SPY250729C00590000,2025-07-23 17:55:06+00:00,590.0,42.92,46.26,46.56,0.0,0.0,1.0,2,0.8032246240234374,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,46.41,0.30000000000000426,0.006464124111183027,0,0.9276069032371855,0.741310322542715,2.937254742259674e-05,-0.0,0.0
SPY250729P00590000,2025-07-25 19:13:22+00:00,590.0,0.03,0.0,0.01,0.0,0.0,1.0,735,0.500005,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0780428611626058,-0.258689677457285,2.937254742259674e-05,-0.0,0.0
SPY250729C00595000,2025-07-29 16:14:23+00:00,595.0,40.63,41.24,41.51,-0.1800003,-0.4410691,10.0,5,0.7153348779296875,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,41.375,0.269999999999996,0.006525679758308061,0,0.9354679786883481,0.7151067377055064,2.977041784002226e-05,-0.0,0.0
SPY250729P00595000,2025-07-28 19:48:25+00:00,595.0,0.01,0.0,0.01,0.0,0.0,50.0,2323,0.45313046875,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0689836774553572,-0.28489326229449363,2.977041784002226e-05,-0.0,0.0
SPY250729C00596000,2025-07-25 18:03:57+00:00,596.0,41.23,40.26,40.5,0.0,0.0,5.0,3,0.702151416015625,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,40.379999999999995,0.240000000000002,0.0059435364041605255,0,0.9370401937785806,0.7098660207380647,2.984510284917338e-05,-0.0,0.0
SPY250729P00596000,2025-07-29 13:30:00+00:00,596.0,0.02,0.0,0.01,0.0,0.0,10.0,630,0.437505625,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0671900806811032,-0.2901339792619353,2.984510284917338e-05,-0.0,0.0
SPY250729P00597000,2025-07-28 17:17:38+00:00,597.0,0.01,0.0,0.01,0.0,0.0,31.0,63,0.42969320312500003,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0654024926062604,-0.29537469622937707,2.9918126327673962e-05,-0.0,0.0
SPY250729P00598000,2025-07-29 14:00:07+00:00,598.0,0.01,0.0,0.01,0.0,0.0,1.0,567,0.42188078125,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.063620883086852,-0.3006154131968188,2.9989475174221555e-05,-0.0,0.0
SPY250729C00599000,2025-07-29 15:29:06+00:00,599.0,36.28,37.26,37.51,3.7700005,11.596435,8.0,4,0.659183095703125,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,37.385,0.25,0.006687174000267487,0,0.9417568390492782,0.6941438698357395,3.0059136566687248e-05,-0.0,0.0
SPY250729P00599000,2025-07-29 13:33:36+00:00,599.0,0.01,0.0,0.01,-0.01,-50.0,1.0,2209,0.4062559375,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0618452221801962,-0.3058561301642605,3.0059136566687248e-05,-0.0,0.0
SPY250729C00600000,2025-07-29 15:37:40+00:00,600.0,35.44,36.26,36.55,-0.6000023,-1.6648232,13.0,10,0.6513706738281251,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,36.405,0.28999999999999915,0.007965938744677905,0,0.9433290541395106,0.6889031528682977,3.0127097965954503e-05,-0.0,0.0
SPY250729P00600000,2025-07-28 20:08:10+00:00,600.0,0.02,0.0,0.01,0.0,0.0,4693.0,3710,0.398443515625,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.0600754801432293,-0.31109684713170227,3.0127097965954503e-05,-0.0,0.0
