timestamp,symbol,side,quantity,price,commission,slippage,signal_type,ma_50,ma_200
2023-06-08 00:00:00,CRWD,buy,33,151.3000030517578,0,0,golden_cross,136.17660034179687,135.9494249343872
2023-06-13 00:00:00,CRWD,sell,33,159.80999755859375,0,0,golden_cross_exit,136.17660034179687,135.9494249343872
2024-11-27 00:00:00,CRWD,buy,14,347.5899963378906,0,0,golden_cross,313.47419921875,312.4495743560791
2024-12-02 00:00:00,CRWD,sell,14,364.8399963378906,0,0,golden_cross_exit,313.47419921875,312.4495743560791
2023-06-07 00:00:00,SNOW,buy,29,169.07000732421875,0,0,golden_cross,156.17460021972656,155.58015033721924
2023-06-12 00:00:00,SNOW,sell,29,181.07000732421875,0,0,golden_cross_exit,156.17460021972656,155.58015033721924
2023-12-06 00:00:00,SNOW,buy,27,184.47000122070312,0,0,golden_cross,159.20680023193358,159.08865051269532
2023-12-11 00:00:00,SNOW,sell,27,196.5500030517578,0,0,golden_cross_exit,159.20680023193358,159.08865051269532
2024-12-16 00:00:00,SNOW,buy,28,172.47000122070312,0,0,golden_cross,138.93239974975586,138.2211498260498
2024-12-21 00:00:00,SNOW,sell,28,161.44000244140625,0,0,golden_cross_exit,138.93239974975586,138.2211498260498
2023-06-09 00:00:00,DDOG,buy,52,95.62999725341797,0,0,golden_cross,79.61309974670411,79.57289991378784
2023-06-14 00:00:00,DDOG,sell,52,95.75,0,0,golden_cross_exit,79.61309974670411,79.57289991378784
2024-11-18 00:00:00,DDOG,buy,39,125.97000122070312,0,0,golden_cross,121.59179946899414,121.54777473449707
2024-11-23 00:00:00,DDOG,sell,39,156.6300048828125,0,0,golden_cross_exit,121.59179946899414,121.54777473449707
2025-07-21 00:00:00,DDOG,buy,34,145.27000427246094,0,0,golden_cross,126.65939971923828,126.08022480010986
2025-07-26 00:00:00,DDOG,sell,34,,0,0,golden_cross_exit,126.65939971923828,126.08022480010986
2024-11-08 00:00:00,NET,buy,54,91.25,0,0,golden_cross,84.76899978637695,84.73610000610351
2024-11-13 00:00:00,NET,sell,54,89.7699966430664,0,0,golden_cross_exit,84.76899978637695,84.73610000610351
2023-09-11 00:00:00,OKTA,buy,55,90.08000183105469,0,0,golden_cross,73.7361003112793,73.7130749320984
2023-09-16 00:00:00,OKTA,sell,55,83.16000366210938,0,0,golden_cross_exit,73.7361003112793,73.7130749320984
2024-01-11 00:00:00,OKTA,buy,59,83.77999877929688,0,0,golden_cross,76.61470001220704,76.5020249557495
2024-01-16 00:00:00,OKTA,sell,59,81.27999877929688,0,0,golden_cross_exit,76.61470001220704,76.5020249557495
2025-02-11 00:00:00,OKTA,buy,52,95.77999877929688,0,0,golden_cross,86.24470016479492,85.87817520141601
2025-02-16 00:00:00,OKTA,sell,52,96.9800033569336,0,0,golden_cross_exit,86.24470016479492,85.87817520141601
2023-07-06 00:00:00,ZS,buy,35,141.74000549316406,0,0,golden_cross,128.6558996582031,128.3267248916626
2023-07-11 00:00:00,ZS,sell,35,145.13999938964844,0,0,golden_cross_exit,128.6558996582031,128.3267248916626
2024-11-27 00:00:00,ZS,buy,24,204.9600067138672,0,0,golden_cross,188.79340026855468,188.0163005065918
2024-12-02 00:00:00,ZS,sell,24,205.61000061035153,0,0,golden_cross_exit,188.79340026855468,188.0163005065918
2024-03-28 00:00:00,PYPL,buy,74,66.98999786376953,0,0,golden_cross,61.61439979553223,61.59112491607666
2024-04-02 00:00:00,PYPL,sell,74,65.1500015258789,0,0,golden_cross_exit,61.61439979553223,61.59112491607666
2023-06-01 00:00:00,SOFI,buy,733,6.820000171661377,0,0,golden_cross,5.6168000030517575,5.6005499863624575
2023-06-06 00:00:00,SOFI,sell,733,8.119999885559082,0,0,golden_cross_exit,5.6168000030517575,5.6005499863624575
2024-10-11 00:00:00,SOFI,buy,554,9.010000228881836,0,0,golden_cross,7.534000015258789,7.494874975681305
2024-10-16 00:00:00,SOFI,sell,554,10.180000305175783,0,0,golden_cross_exit,7.534000015258789,7.494874975681305
2025-06-16 00:00:00,SOFI,buy,335,14.899999618530273,0,0,golden_cross,12.766399993896485,12.730799996852875
2025-06-21 00:00:00,SOFI,sell,335,15.850000381469725,0,0,golden_cross_exit,12.766399993896485,12.730799996852875
2024-10-09 00:00:00,AFRM,buy,115,43.25,0,0,golden_cross,35.78709987640381,35.54022487640381
2024-10-14 00:00:00,AFRM,sell,115,47.970001220703125,0,0,golden_cross_exit,35.78709987640381,35.54022487640381
2025-07-01 00:00:00,AFRM,buy,74,67.0999984741211,0,0,golden_cross,54.98500007629394,54.793124961853025
2025-07-06 00:00:00,AFRM,sell,74,69.06999969482422,0,0,golden_cross_exit,54.98500007629394,54.793124961853025
2023-06-30 00:00:00,COIN,buy,69,71.55000305175781,0,0,golden_cross,58.14900001525879,58.04909984588623
2023-07-05 00:00:00,COIN,sell,69,81.20999908447266,0,0,golden_cross_exit,58.14900001525879,58.04909984588623
2024-11-26 00:00:00,COIN,buy,17,293.2900085449219,0,0,golden_cross,219.81580139160155,219.02045021057128
2024-12-01 00:00:00,COIN,sell,17,330.9400024414063,0,0,golden_cross_exit,219.81580139160155,219.02045021057128
2025-06-24 00:00:00,COIN,buy,14,344.82000732421875,0,0,golden_cross,234.3210006713867,234.1088003540039
2025-06-29 00:00:00,COIN,sell,14,335.3299865722656,0,0,golden_cross_exit,234.3210006713867,234.1088003540039
2023-12-21 00:00:00,RBLX,buy,112,44.47999954223633,0,0,golden_cross,37.130600128173825,37.030599994659426
